source,contest_key,contest_agg_id,category_key,category,contest,contest_total_votes,precincts_total,precincts_reporting,registered_voters,ballots_cast,candidate_index,candidate,party,votes,pct,winner_flag,choice_agg_id,crc,cro
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,0,DONALD J. TRUMP,REP,533556,69.984653523787,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,1,KAMALA D. HARRIS,DEM,214309,28.1101535959286,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,2,ROBERT F. KENNEDY JR.,IND,8947,1.17354634766983,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,3,CHASE OLIVER,LBN,3047,0.399664213853802,0,,0,0
summary,100,,C_0,Results,U.S. PRESIDENT,762390,55,53,0,0,4,JILL STEIN,MTN,2531,0.331982318760739,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,0,JIM JUSTICE,REP,514079,68.7545305482666,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,1,GLENN ELLIOTT,DEM,207548,27.7581175388056,0,,0,0
summary,150,,C_0,Results,U.S. SENATOR,747702,55,53,0,0,2,DAVID MORAN,LBN,26075,3.48735191292788,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,0,CAROL MILLER,REP,228491,66.3938165598803,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,1,CHRIS BOB REED,DEM,90038,26.1628092809717,0,,0,0
summary,200,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District",344145,28,26,0,0,2,WES HOLDEN,IND,25616,7.44337415914803,0,,0,0
summary,250,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District",378965,27,27,0,0,0,RILEY MOORE,REP,268190,70.7690683836238,0,,0,0
summary,250,,C_0,Results,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District",378965,27,27,0,0,1,STEVEN WENDELIN,DEM,110775,29.2309316163762,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,0,PATRICK MORRISEY,REP,459300,61.9898289712361,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,1,STEVE WILLIAMS,DEM,233976,31.5787768852034,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,2,ERIKA KLIE KOLENICH,LBN,21228,2.86505571391552,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,3,S. MARSHALL WILSON,CST,16828,2.27120583916386,0,,0,0
summary,300,,C_0,Results,GOVERNOR,740928,55,53,0,0,4,CHASE LINKO-LOOPER,MTN,9596,1.29513259048113,0,,0,0
summary,350,,C_0,Results,SECRETARY OF STATE,718230,55,53,0,0,0,KRIS WARNER,REP,510992,71.1460117232641,0,,0,0
summary,350,,C_0,Results,SECRETARY OF STATE,718230,55,53,0,0,1,THORNTON COOPER,DEM,207238,28.8539882767359,0,,0,0
summary,400,,C_0,Results,AUDITOR,711228,55,53,0,0,0,MARK HUNT,REP,488737,68.7173452113809,0,,0,0
summary,400,,C_0,Results,AUDITOR,711228,55,53,0,0,1,MARY ANN ROEBUCK CLAYTOR,DEM,222491,31.2826547886191,0,,0,0
summary,450,,C_0,Results,TREASURER,602718,55,53,0,0,0,LARRY PACK,REP,602718,100,0,,0,0
summary,500,,C_0,Results,COMMISSIONER OF AGRICULTURE,710095,55,53,0,0,0,KENT LEONHARDT,REP,490964,69.140607946824,0,,0,0
summary,500,,C_0,Results,COMMISSIONER OF AGRICULTURE,710095,55,53,0,0,1,DEBORAH STILES,DEM,219131,30.859392053176,0,,0,0
summary,550,,C_0,Results,ATTORNEY GENERAL,716106,55,53,0,0,0,JOHN “JB” McCUSKEY,REP,501452,70.0248287264735,0,,0,0
summary,550,,C_0,Results,ATTORNEY GENERAL,716106,55,53,0,0,1,TERESA TORISEVA,DEM,214654,29.9751712735265,0,,0,0
summary,600,,C_0,Results,"STATE SENATOR, 1st Senatorial District",37739,4,4,0,0,0,RYAN W. WELD,REP,37739,100,0,,0,0
summary,650,,C_0,Results,"STATE SENATOR, 2nd Senatorial District",37022,6,6,0,0,0,CHRIS ROSE,REP,37022,100,0,,0,0
summary,700,,C_0,Results,"STATE SENATOR, 3rd Senatorial District",37987,4,4,0,0,0,DONNA J. BOLEY,REP,37987,100,0,,0,0
summary,750,,C_0,Results,"STATE SENATOR, 4th Senatorial District",44998,4,4,0,0,0,AMY NICHOLE GRADY,REP,33655,74.7922129872439,0,,0,0
summary,750,,C_0,Results,"STATE SENATOR, 4th Senatorial District",44998,4,4,0,0,1,DWAYNE RUSSELL,DEM,11343,25.2077870127561,0,,0,0
summary,800,,C_0,Results,"STATE SENATOR, 5th Senatorial District",39049,2,2,0,0,0,SCOTT FULLER,REP,19951,51.0922174703578,0,,0,0
summary,800,,C_0,Results,"STATE SENATOR, 5th Senatorial District",39049,2,2,0,0,1,RIC GRIFFITH,DEM,19098,48.9077825296422,0,,0,0
summary,850,,C_0,Results,"STATE SENATOR, 6th Senatorial District",37703,4,4,0,0,0,CRAIG A. HART,REP,23014,61.0402355250245,0,,0,0
summary,850,,C_0,Results,"STATE SENATOR, 6th Senatorial District",37703,4,4,0,0,1,JEFF DISIBBIO,DEM,12924,34.2784393814816,0,,0,0
summary,850,,C_0,Results,"STATE SENATOR, 6th Senatorial District",37703,4,4,0,0,2,DAVE SARTIN,IND,1765,4.68132509349389,0,,0,0
summary,900,,C_0,Results,"STATE SENATOR, 7th Senatorial District",28849,4,3,0,0,0,RUPIE PHILLIPS,REP,28849,100,0,,0,0
summary,1000,,C_0,Results,"STATE SENATOR, 8th Senatorial District",30980,5,5,0,0,0,GLENN D. JEFFRIES,REP,30980,100,0,,0,0
summary,1050,,C_0,Results,"STATE SENATOR, 9th Senatorial District",40974,3,2,0,0,0,BRIAN HELTON,REP,30734,75.0085420022453,0,,0,0
summary,1050,,C_0,Results,"STATE SENATOR, 9th Senatorial District",40974,3,2,0,0,1,CHRISTY CARDWELL,DEM,10240,24.9914579977547,0,,0,0
summary,1100,,C_0,Results,"STATE SENATOR, 10th Senatorial District",37651,5,5,0,0,0,JACK DAVID WOODRUM,REP,37651,100,0,,0,0
summary,1150,,C_0,Results,"STATE SENATOR, 11th Senatorial District",41192,7,7,0,0,0,ROBBIE MORRIS,REP,31279,75.9346475043698,0,,0,0
summary,1150,,C_0,Results,"STATE SENATOR, 11th Senatorial District",41192,7,7,0,0,1,MANDY SMITH WEIRICH,DEM,9913,24.0653524956302,0,,0,0
summary,1200,,C_0,Results,"STATE SENATOR, 12th Senatorial District",37167,5,5,0,0,0,PATRICK S MARTIN,REP,37167,100,0,,0,0
summary,1250,,C_0,Results,"STATE SENATOR, 13th Senatorial District",40211,2,2,0,0,0,JOEY GARCIA,DEM,21890,54.4378403919326,0,,0,0
summary,1250,,C_0,Results,"STATE SENATOR, 13th Senatorial District",40211,2,2,0,0,1,REBECCA POLIS,REP,18321,45.5621596080674,0,,0,0
summary,1300,,C_0,Results,"STATE SENATOR, 14th Senatorial District",41890,6,6,0,0,0,RANDY E. SMITH,REP,36296,86.6459775602769,0,,0,0
summary,1300,,C_0,Results,"STATE SENATOR, 14th Senatorial District",41890,6,6,0,0,1,BETSY ORNDOFF-SAYERS,MTN,5594,13.3540224397231,0,,0,0
summary,1350,,C_0,Results,"STATE SENATOR, 15th Senatorial District",49297,3,3,0,0,0,THOMAS (TOM) WILLIS,REP,35979,72.9841572509483,0,,0,0
summary,1350,,C_0,Results,"STATE SENATOR, 15th Senatorial District",49297,3,3,0,0,1,ANTHONY MURRAY,DEM,13318,27.0158427490517,0,,0,0
summary,1400,,C_0,Results,"STATE SENATOR, 16th Senatorial District",51648,2,2,0,0,0,PATRICIA RUCKER,REP,31003,60.0274938042131,0,,0,0
summary,1400,,C_0,Results,"STATE SENATOR, 16th Senatorial District",51648,2,2,0,0,1,JOHN DOYLE,DEM,20645,39.9725061957869,0,,0,0
summary,1450,,C_0,Results,"STATE SENATOR, 17th Senatorial District",41903,1,0,0,0,0,ERIC NELSON,REP,26931,64.269861346443,0,,0,0
summary,1450,,C_0,Results,"STATE SENATOR, 17th Senatorial District",41903,1,0,0,0,1,BIL LEPP,DEM,14972,35.730138653557,0,,0,0
summary,1500,,C_0,Results,"HOUSE OF DELEGATES, 1st District",7689,2,2,0,0,0,PAT McGEEHAN,REP,7689,100,0,,0,0
summary,1550,,C_0,Results,"HOUSE OF DELEGATES, 2nd District",7628,2,2,0,0,0,MARK ZATEZALO,REP,5206,68.2485579444153,0,,0,0
summary,1550,,C_0,Results,"HOUSE OF DELEGATES, 2nd District",7628,2,2,0,0,1,OLIVIA  DOWLER,DEM,2422,31.7514420555847,0,,0,0
summary,1600,,C_0,Results,"HOUSE OF DELEGATES, 3rd District",7450,2,2,0,0,0,JIMMY WILLIS,REP,5128,68.8322147651007,0,,0,0
summary,1600,,C_0,Results,"HOUSE OF DELEGATES, 3rd District",7450,2,2,0,0,1,DAVID CANTRELL,DEM,2322,31.1677852348993,0,,0,0
summary,1650,,C_0,Results,"HOUSE OF DELEGATES, 4th District",9084,1,1,0,0,0,BILL FLANIGAN,REP,5991,65.9511228533686,0,,0,0
summary,1650,,C_0,Results,"HOUSE OF DELEGATES, 4th District",9084,1,1,0,0,1,JONATHAN “JOHNNY” HAUGHT,DEM,3093,34.0488771466314,0,,0,0
summary,1700,,C_0,Results,"HOUSE OF DELEGATES, 5th District",7219,1,1,0,0,0,SHAWN FLUHARTY,DEM,4135,57.2794015791661,0,,0,0
summary,1700,,C_0,Results,"HOUSE OF DELEGATES, 5th District",7219,1,1,0,0,1,THOMAS M. SALKOVICK,REP,3084,42.7205984208339,0,,0,0
summary,1750,,C_0,Results,"HOUSE OF DELEGATES, 6th District",8126,1,1,0,0,0,JEFF STEPHENS,REP,4560,56.1161703174994,0,,0,0
summary,1750,,C_0,Results,"HOUSE OF DELEGATES, 6th District",8126,1,1,0,0,1,CODY CUMPSTON,DEM,3566,43.8838296825006,0,,0,0
summary,1800,,C_0,Results,"HOUSE OF DELEGATES, 7th District",7535,2,2,0,0,0,CHARLES R. SHEEDY SR.,REP,5106,67.7637690776377,0,,0,0
summary,1800,,C_0,Results,"HOUSE OF DELEGATES, 7th District",7535,2,2,0,0,1,DEVON  TENNANT,DEM,2429,32.2362309223623,0,,0,0
summary,1850,,C_0,Results,"HOUSE OF DELEGATES, 8th District",6537,3,3,0,0,0,DAVID L. KELLY,REP,6537,100,0,,0,0
summary,1900,,C_0,Results,"HOUSE OF DELEGATES, 9th District",7475,3,3,0,0,0,TRENTON CARL BARNHART,REP,7475,100,0,,0,0
summary,1950,,C_0,Results,"HOUSE OF DELEGATES, 10th District",7020,1,1,0,0,0,BILL ANDERSON,REP,7020,100,0,,0,0
summary,2000,,C_0,Results,"HOUSE OF DELEGATES, 11th District",6272,1,1,0,0,0,BOB FEHRENBACHER,REP,6272,100,0,,0,0
summary,2050,,C_0,Results,"HOUSE OF DELEGATES, 12th District",4847,1,1,0,0,0,VERNON CRISS,REP,4847,100,0,,0,0
summary,2100,,C_0,Results,"HOUSE OF DELEGATES, 13th District",5883,1,1,0,0,0,SCOT HECKERT,REP,5883,100,0,,0,0
summary,2150,,C_0,Results,"HOUSE OF DELEGATES, 14th District",8032,2,2,0,0,0,DAVE FOGGIN,REP,6146,76.5189243027888,0,,0,0
summary,2150,,C_0,Results,"HOUSE OF DELEGATES, 14th District",8032,2,2,0,0,1,JIM  MARION,DEM,1886,23.4810756972112,0,,0,0
summary,2200,,C_0,Results,"HOUSE OF DELEGATES, 15th District",7154,2,2,0,0,0,ERICA J. MOORE,REP,5869,82.0380206877271,0,,0,0
summary,2200,,C_0,Results,"HOUSE OF DELEGATES, 15th District",7154,2,2,0,0,1,JULIANNA PENFOLD,DEM,1285,17.9619793122729,0,,0,0
summary,2250,,C_0,Results,"HOUSE OF DELEGATES, 16th District",7482,1,1,0,0,0,FREDERICK HAPPY JOE PARSONS,REP,7482,100,0,,0,0
summary,2300,,C_0,Results,"HOUSE OF DELEGATES, 17th District",6639,2,2,0,0,0,JONATHAN ADAM PINSON,REP,6639,100,0,,0,0
summary,2350,,C_0,Results,"HOUSE OF DELEGATES, 18th District",7005,2,2,0,0,0,JIM BUTLER,REP,5023,71.7059243397573,0,,0,0
summary,2350,,C_0,Results,"HOUSE OF DELEGATES, 18th District",7005,2,2,0,0,1,ANDREA MEADOWS,DEM,1982,28.2940756602427,0,,0,0
summary,2400,,C_0,Results,"HOUSE OF DELEGATES, 19th District",6560,1,1,0,0,0,KATHIE HESS CROUSE,REP,6560,100,0,,0,0
summary,2450,,C_0,Results,"HOUSE OF DELEGATES, 20th District",9238,1,1,0,0,0,SARAH DRENNAN,REP,6617,71.6280580212167,0,,0,0
summary,2450,,C_0,Results,"HOUSE OF DELEGATES, 20th District",9238,1,1,0,0,1,STEVE PATRICK,DEM,2621,28.3719419787833,0,,0,0
summary,2500,,C_0,Results,"HOUSE OF DELEGATES, 21st District",8501,1,1,0,0,0,JARRED CANNON,REP,5865,68.9918833078461,0,,0,0
summary,2500,,C_0,Results,"HOUSE OF DELEGATES, 21st District",8501,1,1,0,0,1,MICHAEL MOSTELLER II,DEM,2636,31.0081166921539,0,,0,0
summary,2550,,C_0,Results,"HOUSE OF DELEGATES, 22nd District",6091,1,1,0,0,0,DANIEL LINVILLE,REP,6091,100,0,,0,0
summary,2600,,C_0,Results,"HOUSE OF DELEGATES, 23rd District",6843,1,1,0,0,0,EVAN WORRELL,REP,5170,75.5516586292562,0,,0,0
summary,2600,,C_0,Results,"HOUSE OF DELEGATES, 23rd District",6843,1,1,0,0,1,AMANDA BETH BEACH-BURGE,DEM,1673,24.4483413707438,0,,0,0
summary,2650,,C_0,Results,"HOUSE OF DELEGATES, 24th District",5486,1,1,0,0,0,PATRICK LUCAS,REP,3134,57.1272329566168,0,,0,0
summary,2650,,C_0,Results,"HOUSE OF DELEGATES, 24th District",5486,1,1,0,0,1,BILLY WRAY,DEM,2352,42.8727670433832,0,,0,0
summary,2700,,C_0,Results,"HOUSE OF DELEGATES, 25th District",4975,1,1,0,0,0,SEAN HORNBUCKLE,DEM,3699,74.3517587939699,0,,0,0
summary,2700,,C_0,Results,"HOUSE OF DELEGATES, 25th District",4975,1,1,0,0,1,CONNIE BEATY,REP,1276,25.6482412060301,0,,0,0
summary,2750,,C_0,Results,"HOUSE OF DELEGATES, 26th District",6046,1,1,0,0,0,MATTHEW ROHRBACH,REP,6046,100,0,,0,0
summary,2800,,C_0,Results,"HOUSE OF DELEGATES, 27th District",6090,2,2,0,0,0,MICHAEL D. AMOS,REP,3892,63.9080459770115,0,,0,0
summary,2800,,C_0,Results,"HOUSE OF DELEGATES, 27th District",6090,2,2,0,0,1,GINA MILUM,DEM,1910,31.3628899835796,0,,0,0
summary,2800,,C_0,Results,"HOUSE OF DELEGATES, 27th District",6090,2,2,0,0,2,CRAIG CARPENTER II,LBN,288,4.72906403940887,0,,0,0
summary,2850,,C_0,Results,"HOUSE OF DELEGATES, 28th District",6126,1,1,0,0,0,RYAN BROWNING,REP,6126,100,0,,0,0
summary,2900,,C_0,Results,"HOUSE OF DELEGATES, 29th District",5589,2,2,0,0,0,HENRY CORBY DILLON,REP,3397,60.7801037752729,0,,0,0
summary,2900,,C_0,Results,"HOUSE OF DELEGATES, 29th District",5589,2,2,0,0,1,WAYNE BUG WILLIAMSON,DEM,2192,39.2198962247271,0,,0,0
summary,2950,,C_0,Results,"HOUSE OF DELEGATES, 30th District",6277,1,1,0,0,0,JEFF ELDRIDGE,REP,4533,72.2160267643779,0,,0,0
summary,2950,,C_0,Results,"HOUSE OF DELEGATES, 30th District",6277,1,1,0,0,1,BRITNEY BROGAN,DEM,1744,27.7839732356221,0,,0,0
summary,3000,,C_0,Results,"HOUSE OF DELEGATES, 31st District",5265,3,3,0,0,0,MARGITTA MAZZOCCHI,REP,5265,100,0,,0,0
summary,3050,,C_0,Results,"HOUSE OF DELEGATES, 32nd District",6703,1,1,0,0,0,JOSH HOLSTEIN,REP,4909,73.2358645382665,0,,0,0
summary,3050,,C_0,Results,"HOUSE OF DELEGATES, 32nd District",6703,1,1,0,0,1,APRIL D. ESTEP,DEM,1794,26.7641354617336,0,,0,0
summary,3100,,C_0,Results,"HOUSE OF DELEGATES, 33rd District",5280,1,1,0,0,0,JORDAN BRIDGES,REP,5280,100,0,,0,0
summary,3150,,C_0,Results,"HOUSE OF DELEGATES, 34th District",5383,2,2,0,0,0,MARK DEAN,REP,5383,100,0,,0,0
summary,3200,,C_0,Results,"HOUSE OF DELEGATES, 35th District",5579,1,1,0,0,0,ADAM VANCE,REP,5579,100,0,,0,0
summary,3250,,C_0,Results,"HOUSE OF DELEGATES, 36th District",4951,1,1,0,0,0,S. DAVID GREEN,REP,3668,74.0860432235912,0,,0,0
summary,3250,,C_0,Results,"HOUSE OF DELEGATES, 36th District",4951,1,1,0,0,1,TIFFANY CLEMINS,DEM,1283,25.9139567764088,0,,0,0
summary,3300,,C_0,Results,"HOUSE OF DELEGATES, 37th District",6569,1,1,0,0,0,MARTY GEARHEART,REP,4851,73.8468564469478,0,,0,0
summary,3300,,C_0,Results,"HOUSE OF DELEGATES, 37th District",6569,1,1,0,0,1,POLLA McCLELLAN RUMBERG,DEM,1718,26.1531435530522,0,,0,0
summary,3350,,C_0,Results,"HOUSE OF DELEGATES, 38th District",7191,1,1,0,0,0,JOE C. ELLINGTON JR.,REP,5410,75.2329300514532,0,,0,0
summary,3350,,C_0,Results,"HOUSE OF DELEGATES, 38th District",7191,1,1,0,0,1,RANDA D. FAULKNER,DEM,1781,24.7670699485468,0,,0,0
summary,3400,,C_0,Results,"HOUSE OF DELEGATES, 39th District",7336,1,1,0,0,0,DOUG SMITH,REP,5958,81.2159214830971,0,,0,0
summary,3400,,C_0,Results,"HOUSE OF DELEGATES, 39th District",7336,1,1,0,0,1,NEAL VESTAL,DEM,1378,18.7840785169029,0,,0,0
summary,3450,,C_0,Results,"HOUSE OF DELEGATES, 40th District",8488,2,2,0,0,0,ROY G. COOPER,REP,6178,72.7851083883129,0,,0,0
summary,3450,,C_0,Results,"HOUSE OF DELEGATES, 40th District",8488,2,2,0,0,1,JAMES W. “JIM” McNEELY,DEM,2310,27.2148916116871,0,,0,0
summary,3500,,C_0,Results,"HOUSE OF DELEGATES, 41st District",8809,3,3,0,0,0,JORDAN ALLEN MAYNOR,REP,6960,79.0101033034397,0,,0,0
summary,3500,,C_0,Results,"HOUSE OF DELEGATES, 41st District",8809,3,3,0,0,1,ANNA WHITE FERRARACCIO,DEM,1849,20.9898966965603,0,,0,0
summary,3550,,C_0,Results,"HOUSE OF DELEGATES, 42nd District",7700,1,0,0,0,0,BRANDON STEELE,REP,5929,77,0,,0,0
summary,3550,,C_0,Results,"HOUSE OF DELEGATES, 42nd District",7700,1,0,0,0,1,ADDAM GIBSON,DEM,1771,23,0,,0,0
summary,3600,,C_0,Results,"HOUSE OF DELEGATES, 43rd District",6365,2,2,0,0,0,CHRISTOPHER TONEY,REP,6365,100,0,,0,0
summary,3650,,C_0,Results,"HOUSE OF DELEGATES, 44th District",6799,1,1,0,0,0,CARL BILL ROOP,REP,3883,57.1113399029269,0,,0,0
summary,3650,,C_0,Results,"HOUSE OF DELEGATES, 44th District",6799,1,1,0,0,1,TONY O. MARTIN,DEM,2916,42.8886600970731,0,,0,0
summary,3700,,C_0,Results,"HOUSE OF DELEGATES, 45th District",4991,2,2,0,0,0,ERIC BROOKS,REP,4991,100,0,,0,0
summary,3750,,C_0,Results,"HOUSE OF DELEGATES, 46th District",8033,2,2,0,0,0,JEFF CAMPBELL,REP,5714,71.1315822233288,0,,0,0
summary,3750,,C_0,Results,"HOUSE OF DELEGATES, 46th District",8033,2,2,0,0,1,PAUL S. DETCH,DEM,2319,28.8684177766712,0,,0,0
summary,3800,,C_0,Results,"HOUSE OF DELEGATES, 47th District",7723,2,2,0,0,0,RAY CANTERBURY,REP,5516,71.4230221416548,0,,0,0
summary,3800,,C_0,Results,"HOUSE OF DELEGATES, 47th District",7723,2,2,0,0,1,KAYLA M. McCOY,DEM,2207,28.5769778583452,0,,0,0
summary,3850,,C_0,Results,"HOUSE OF DELEGATES, 48th District",6026,3,3,0,0,0,THOMAS CLARK,REP,4546,75.4397610355128,0,,0,0
summary,3850,,C_0,Results,"HOUSE OF DELEGATES, 48th District",6026,3,3,0,0,1,DEVIN C. SPINKS,DEM,1480,24.5602389644872,0,,0,0
summary,3900,,C_0,Results,"HOUSE OF DELEGATES, 49th District",6926,1,1,0,0,0,STANLEY S. ADKINS,REP,5290,76.3788622581577,0,,0,0
summary,3900,,C_0,Results,"HOUSE OF DELEGATES, 49th District",6926,1,1,0,0,1,JEAN NUTTER,DEM,1636,23.6211377418423,0,,0,0
summary,3950,,C_0,Results,"HOUSE OF DELEGATES, 50th District",5914,1,1,0,0,0,DAVID “ELLIOTT” PRITT,REP,3928,66.4186675684816,0,,0,0
summary,3950,,C_0,Results,"HOUSE OF DELEGATES, 50th District",5914,1,1,0,0,1,JERRY L. ALLEN,DEM,1587,26.8346296922557,0,,0,0
summary,3950,,C_0,Results,"HOUSE OF DELEGATES, 50th District",5914,1,1,0,0,2,SCOTTY BOWMAN,,399,6.74670273926277,0,,0,0
summary,4000,,C_0,Results,"HOUSE OF DELEGATES, 51st District",7278,1,1,0,0,0,MARSHALL W. CLAY,REP,4882,67.0788678208299,0,,0,0
summary,4000,,C_0,Results,"HOUSE OF DELEGATES, 51st District",7278,1,1,0,0,1,MELISSA J. COLAGROSSO,DEM,2396,32.9211321791701,0,,0,0
summary,4050,,C_0,Results,"HOUSE OF DELEGATES, 52nd District",6782,2,1,0,0,0,TRESA HOWELL,REP,4088,60.2772043644943,0,,0,0
